Target,Common.name,Uniprot.ID,ChEMBL.ID,Target.Class,Probability.,Known.actives..3D.2D.,Compuesto
Protein kinase C epsilon,PRKCE,Q02156,CHEMBL3582,Kinase,0.125687252905,23 /  27     ,C
Thrombin,F2,P00734,CHEMBL204,Protease,0.125687252905,69 /  9     ,C
Isoleucyl-tRNA synthetase,IARS,P41252,CHEMBL3235,Enzyme,0.125687252905,0 /  3     ,C
Gamma-secretase,PSEN2 PSENEN NCSTN APH1A PSEN1 APH1B,P49810 Q9NZ42 Q92542 Q96BI3 P49768 Q8WW43,CHEMBL2094135,Protease,0.125687252905,103 /  0     ,C
CDK8/Cyclin C,CCNC CDK8,P24863 P49336,CHEMBL3038474,Kinase,0.125687252905,8 /  0     ,C
Cell division protein kinase 8,CDK8,P49336,CHEMBL5719,Kinase,0.125687252905,15 /  0     ,C
Voltage-gated potassium channel subunit Kv1.3,KCNA3,P22001,CHEMBL4633,Voltage-gated ion channel,0.125687252905,15 /  2     ,C
Carboxylesterase 2,CES2,O00748,CHEMBL3180,Enzyme,0.125687252905,5 /  12     ,C
Tubulin--tyrosine ligase,TTL,Q8NG68,CHEMBL5549,Enzyme,0.125687252905,5 /  15     ,C
Protein kinase C (PKC),PRKCZ,Q05513,CHEMBL3438,Kinase,0.125687252905,3 /  0     ,C
Period circadian protein homolog 2,PER2,O15055,CHEMBL3751648,Unclassified protein,0.125687252905,16 /  0     ,C
Corticosteroid binding globulin,SERPINA6,P08185,CHEMBL2421,Secreted protein,0.125687252905,10 /  14     ,C
Phosphodiesterase 4D,PDE4D,Q08499,CHEMBL288,Phosphodiesterase,0.125687252905,9 /  12     ,C
Nerve growth factor receptor Trk-A,NTRK1,P04629,CHEMBL2815,Kinase,0.125687252905,135 /  0     ,C
Phosphodiesterase 10A,PDE10A,Q9Y233,CHEMBL4409,Phosphodiesterase,0.125687252905,373 /  0     ,C
Prostaglandin E synthase,PTGES,O14684,CHEMBL5658,Enzyme,0.125687252905,18 /  9     ,C
Cyclin-dependent kinase 1/cyclin B,CCNB3 CDK1 CCNB1 CCNB2,Q8WWL7 P06493 P14635 O95067,CHEMBL2094127,Other cytosolic protein,0.125687252905,24 /  0     ,C
Cyclin-dependent kinase 2/cyclin A,CDK2 CCNA1 CCNA2,P24941 P78396 P20248,CHEMBL2094128,Other cytosolic protein,0.125687252905,58 /  0     ,C
Ribosomal protein S6 kinase alpha 3,RPS6KA3,P51812,CHEMBL2345,Kinase,0.125687252905,9 /  0     ,C
Peroxisome proliferator-activated receptor delta,PPARD,Q03181,CHEMBL3979,Nuclear receptor,0.125687252905,0 /  3     ,C
Bromodomain-containing protein 4,BRD4,O60885,CHEMBL1163125,Reader,0.125687252905,52 /  0     ,C
CREB-binding protein/p53,CREBBP,Q92793,CHEMBL5747,Writer,0.125687252905,15 /  0     ,C
PI3-kinase p110-beta subunit,PIK3CB,P42338,CHEMBL3145,Enzyme,0.125687252905,124 /  0     ,C
Inosine-5'-monophosphate dehydrogenase 1,IMPDH1,P20839,CHEMBL1822,Oxidoreductase,0.125687252905,9 /  0     ,C
Inosine-5'-monophosphate dehydrogenase 2,IMPDH2,P12268,CHEMBL2002,Oxidoreductase,0.125687252905,47 /  0     ,C
Programmed cell death protein 4,PDCD4,Q53EL6,CHEMBL1781868,Unclassified protein,0.125687252905,0 /  8     ,C
MAP kinase p38 alpha,MAPK14,Q16539,CHEMBL260,Kinase,0.125687252905,210 /  0     ,C
p53-binding protein Mdm-2,MDM2,Q00987,CHEMBL5023,Other nuclear protein,0.125687252905,197 /  0     ,C
Leucine-rich repeat serine/threonine-protein kinase 2,LRRK2,Q5S007,CHEMBL1075104,Kinase,0.125687252905,116 /  0     ,C
Tyrosine-protein kinase JAK3,JAK3,P52333,CHEMBL2148,Kinase,0.125687252905,124 /  0     ,C
Cyclin-dependent kinase 2,CDK2,P24941,CHEMBL301,Kinase,0.125687252905,120 /  0     ,C
Cyclin-dependent kinase 1,CDK1,P06493,CHEMBL308,Kinase,0.125687252905,142 /  0     ,C
P2X purinoceptor 3,P2RX3,P56373,CHEMBL2998,Ligand-gated ion channel,0.125687252905,275 /  0     ,C
Dual specificity phosphatase Cdc25A,CDC25A,P30304,CHEMBL3775,Phosphatase,0.125687252905,7 /  14     ,C
Adenosine A2a receptor,ADORA2A,P29274,CHEMBL251,Family A G protein-coupled receptor,0.125687252905,124 /  0     ,C
Dual specificity mitogen-activated protein kinase kinase 1,MAP2K1,Q02750,CHEMBL3587,Kinase,0.125687252905,161 /  0     ,C
Sarcoplasmic/endoplasmic reticulum calcium ATPase 1,ATP2A1,O14983,CHEMBL3136,Hydrolase,0.125687252905,0 /  4     ,C
Glutathione S-transferase Mu 1,GSTM1,P09488,CHEMBL2081,Enzyme,0.125687252905,0 /  1     ,C
Stem cell growth factor receptor,KIT,P10721,CHEMBL1936,Kinase,0.125687252905,34 /  0     ,C
Kinesin-1 heavy chain/ Tyrosine-protein kinase receptor RET,RET,P07949,CHEMBL2041,Kinase,0.125687252905,19 /  0     ,C
Tyrosine-protein kinase LCK,LCK,P06239,CHEMBL258,Kinase,0.125687252905,50 /  0     ,C
DNA-dependent protein kinase,PRKDC,P78527,CHEMBL3142,Kinase,0.125687252905,84 /  0     ,C
Tyrosine-protein kinase TYK2,TYK2,P29597,CHEMBL3553,Kinase,0.125687252905,54 /  0     ,C
MAP kinase ERK2,MAPK1,P28482,CHEMBL4040,Kinase,0.125687252905,184 /  0     ,C
MAP kinase signal-integrating kinase 2,MKNK2,Q9HBH9,CHEMBL4204,Kinase,0.125687252905,18 /  0     ,C
ALK tyrosine kinase receptor,ALK,Q9UM73,CHEMBL4247,Kinase,0.125687252905,20 /  0     ,C
Ephrin receptor,EPHB4,P54760,CHEMBL5147,Kinase,0.125687252905,28 /  0     ,C
Phosphodiesterase 2A,PDE2A,O00408,CHEMBL2652,Phosphodiesterase,0.125687252905,79 /  0     ,C
Poly [ADP-ribose] polymerase-1,PARP1,P09874,CHEMBL3105,Enzyme,0.125687252905,81 /  0     ,C
"Heat shock protein 75 kDa, mitochondrial",TRAP1,Q12931,CHEMBL1075132,Other cytosolic protein,0.125687252905,6 /  0     ,C
Cyclin-dependent kinase 4/cyclin D1,CCND1 CDK4,P24385 P11802,CHEMBL1907601,Kinase,0.125687252905,54 /  0     ,C
Cyclin-dependent kinase 2/cyclin E1,CCNE1 CDK2,P24864 P24941,CHEMBL1907605,Kinase,0.125687252905,44 /  0     ,C
Cyclin-dependent kinase 2/cyclin E,CCNE2 CDK2 CCNE1,O96020 P24941 P24864,CHEMBL2094126,Other cytosolic protein,0.125687252905,52 /  0     ,C
Heat shock protein HSP 90-beta,HSP90AB1,P08238,CHEMBL4303,Other cytosolic protein,0.125687252905,54 /  0     ,C
PI3-kinase p110-delta subunit,PIK3CD,O00329,CHEMBL3130,Enzyme,0.125687252905,106 /  0     ,C
PI3-kinase p110-alpha subunit,PIK3CA,P42336,CHEMBL4005,Enzyme,0.125687252905,350 /  0     ,C
Proteasome Macropain subunit,PSMB2,P49721,CHEMBL3492,Protease,0.125687252905,2 /  0     ,C
Cytochrome P450 51,CYP51A1,Q16850,CHEMBL3849,Cytochrome P450,0.125687252905,11 /  0     ,C
26S proteosome,PSMB1,P20618,CHEMBL4208,Protease,0.125687252905,2 /  0     ,C
Proteasome Macropain subunit MB1,PSMB5,P28074,CHEMBL4662,Protease,0.125687252905,8 /  0     ,C
Peroxisome proliferator-activated receptor gamma,PPARG,P37231,CHEMBL235,Nuclear receptor,0.125687252905,16 /  8     ,C
Nociceptin receptor,OPRL1,P41146,CHEMBL2014,Family A G protein-coupled receptor,0.125687252905,179 /  0     ,C
P2X purinoceptor 7,P2RX7,Q99572,CHEMBL4805,Ligand-gated ion channel,0.125687252905,27 /  0     ,C
LIM domain kinase 2,LIMK2,P53671,CHEMBL5932,Kinase,0.125687252905,11 /  0     ,C
Adrenergic receptor beta,ADRB2,P07550,CHEMBL210,Family A G protein-coupled receptor,0.125687252905,125 /  0     ,C
Beta-1 adrenergic receptor,ADRB1,P08588,CHEMBL213,Family A G protein-coupled receptor,0.125687252905,99 /  0     ,C
Beta-3 adrenergic receptor,ADRB3,P13945,CHEMBL246,Family A G protein-coupled receptor,0.125687252905,132 /  0     ,C
Tyrosine-protein kinase JAK2,JAK2,O60674,CHEMBL2971,Kinase,0.125687252905,174 /  0     ,C
Protein farnesyltransferase,FNTA FNTB,P49354 P49356,CHEMBL2094108,Enzyme,0.125687252905,36 /  10     ,C
Serine/threonine-protein kinase PAK 1,PAK1,Q13153,CHEMBL4600,Kinase,0.125687252905,7 /  0     ,C
Protein kinase C alpha,PRKCA,P17252,CHEMBL299,Kinase,0.101086930615,75 /  259     ,D
Protein kinase C delta,PRKCD,Q05655,CHEMBL2996,Kinase,0.0833055530239,74 /  68     ,D
Protein kinase C beta,PRKCB,P05771,CHEMBL3045,Kinase,0.0833055530239,46 /  10     ,D
Androgen Receptor,AR,P10275,CHEMBL1871,Nuclear receptor,0.0743922719035,100 /  62     ,D
Protein kinase C epsilon,PRKCE,Q02156,CHEMBL3582,Kinase,0.0743922719035,20 /  32     ,D
Protein kinase C gamma,PRKCG,P05129,CHEMBL2938,Kinase,0.0743922719035,25 /  7     ,D
Protein kinase C eta,PRKCH,P24723,CHEMBL3616,Kinase,0.0743922719035,16 /  5     ,D
P-glycoprotein 1,ABCB1,P08183,CHEMBL4302,Primary active transporter,0.0743922719035,180 /  20     ,D
Protein kinase C theta,PRKCQ,Q04759,CHEMBL3920,Kinase,0.0743922719035,49 /  7     ,D
Cyclooxygenase-2,PTGS2,P35354,CHEMBL230,Oxidoreductase,0.0743922719035,50 /  15     ,D
HMG-CoA reductase,HMGCR,P04035,CHEMBL402,Oxidoreductase,0.0743922719035,169 /  103     ,D
Isoleucyl-tRNA synthetase,IARS,P41252,CHEMBL3235,Enzyme,0.0743922719035,0 /  4     ,D
Glutathione S-transferase Mu 1,GSTM1,P09488,CHEMBL2081,Enzyme,0.0743922719035,0 /  1     ,D
Proto-oncogene vav,VAV1,P15498,CHEMBL3259472,Unclassified protein,0.0743922719035,1 /  1     ,D
Glucocorticoid receptor,NR3C1,P04150,CHEMBL2034,Nuclear receptor,0.0743922719035,116 /  23     ,D
Telomerase reverse transcriptase,TERT,O14746,CHEMBL2916,Enzyme,0.0743922719035,6 /  2     ,D
Tubulin--tyrosine ligase,TTL,Q8NG68,CHEMBL5549,Enzyme,0.0743922719035,6 /  13     ,D
Interleukin-8 receptor A,CXCR1,P25024,CHEMBL4029,Family A G protein-coupled receptor,0.0743922719035,58 /  2     ,D
Proteinase-activated receptor 2,F2RL1,P55085,CHEMBL5963,Family A G protein-coupled receptor,0.0743922719035,0 /  1     ,D
Protein-tyrosine phosphatase 1B,PTPN1,P18031,CHEMBL335,Phosphatase,0.0743922719035,104 /  57     ,D
Phosphodiesterase 4D,PDE4D,Q08499,CHEMBL288,Phosphodiesterase,0.0743922719035,12 /  11     ,D
Sarcoplasmic/endoplasmic reticulum calcium ATPase 1,ATP2A1,O14983,CHEMBL3136,Hydrolase,0.0743922719035,0 /  4     ,D
Progesterone receptor,PGR,P06401,CHEMBL208,Nuclear receptor,0.0743922719035,28 /  40     ,D
Voltage-gated potassium channel subunit Kv1.3,KCNA3,P22001,CHEMBL4633,Voltage-gated ion channel,0.0743922719035,11 /  2     ,D
Programmed cell death protein 4,PDCD4,Q53EL6,CHEMBL1781868,Unclassified protein,0.0743922719035,0 /  8     ,D
C-C chemokine receptor type 1,CCR1,P32246,CHEMBL2413,Family A G protein-coupled receptor,0.0743922719035,166 /  0     ,D
Phospholipase A2 group IIA,PLA2G2A,P14555,CHEMBL3474,Enzyme,0.0743922719035,15 /  8     ,D
Apoptosis regulator Bcl-X,BCL2L1,Q07817,CHEMBL4625,Other ion channel,0.0743922719035,5 /  3     ,D
Inhibitor of nuclear factor kappa B kinase beta subunit,IKBKB,O14920,CHEMBL1991,Kinase,0.0743922719035,23 /  6     ,D
Proto-oncogene c-JUN,JUN,P05412,CHEMBL4977,Transcription factor,0.0743922719035,8 /  6     ,D
Arachidonate 5-lipoxygenase,ALOX5,P09917,CHEMBL215,Oxidoreductase,0.0743922719035,37 /  5     ,D
Pregnane X receptor,NR1I2,O75469,CHEMBL3401,Nuclear receptor,0.0743922719035,6 /  0     ,D
"Heat shock protein 75 kDa, mitochondrial",TRAP1,Q12931,CHEMBL1075132,Other cytosolic protein,0.0743922719035,6 /  0     ,D
Heat shock protein HSP 90-beta,HSP90AB1,P08238,CHEMBL4303,Other cytosolic protein,0.0743922719035,57 /  0     ,D
Nerve growth factor receptor Trk-A,NTRK1,P04629,CHEMBL2815,Kinase,0.0743922719035,148 /  0     ,D
Matrix metalloproteinase 3,MMP3,P08254,CHEMBL283,Protease,0.0743922719035,88 /  0     ,D
Matrix metalloproteinase 1,MMP1,P03956,CHEMBL332,Protease,0.0743922719035,171 /  0     ,D
Cyclin-dependent kinase 1/cyclin B,CCNB3 CDK1 CCNB1 CCNB2,Q8WWL7 P06493 P14635 O95067,CHEMBL2094127,Other cytosolic protein,0.0743922719035,28 /  0     ,D
Cyclin-dependent kinase 2/cyclin A,CDK2 CCNA1 CCNA2,P24941 P78396 P20248,CHEMBL2094128,Other cytosolic protein,0.0743922719035,55 /  0     ,D
Ribosomal protein S6 kinase alpha 3,RPS6KA3,P51812,CHEMBL2345,Kinase,0.0743922719035,8 /  0     ,D
MAP kinase p38 alpha,MAPK14,Q16539,CHEMBL260,Kinase,0.0743922719035,222 /  0     ,D
Cyclin-dependent kinase 2,CDK2,P24941,CHEMBL301,Kinase,0.0743922719035,147 /  0     ,D
Cyclin-dependent kinase 1,CDK1,P06493,CHEMBL308,Kinase,0.0743922719035,156 /  0     ,D
11-beta-hydroxysteroid dehydrogenase 1,HSD11B1,P28845,CHEMBL4235,Enzyme,0.0743922719035,202 /  26     ,D
P2X purinoceptor 3,P2RX3,P56373,CHEMBL2998,Ligand-gated ion channel,0.0743922719035,329 /  0     ,D
Thrombin,F2,P00734,CHEMBL204,Protease,0.0743922719035,67 /  9     ,D
Period circadian protein homolog 2,PER2,O15055,CHEMBL3751648,Unclassified protein,0.0743922719035,16 /  0     ,D
Cyclin-dependent kinase 4/cyclin D1,CCND1 CDK4,P24385 P11802,CHEMBL1907601,Kinase,0.0743922719035,51 /  0     ,D
Cyclin-dependent kinase 2/cyclin E,CCNE2 CDK2 CCNE1,O96020 P24941 P24864,CHEMBL2094126,Other cytosolic protein,0.0743922719035,61 /  0     ,D
CDK8/Cyclin C,CCNC CDK8,P24863 P49336,CHEMBL3038474,Kinase,0.0743922719035,8 /  0     ,D
Cell division protein kinase 8,CDK8,P49336,CHEMBL5719,Kinase,0.0743922719035,15 /  0     ,D
Transient receptor potential cation channel subfamily V member 4,TRPV4,Q9HBA0,CHEMBL3119,Voltage-gated ion channel,0.0743922719035,6 /  5     ,D
Bromodomain-containing protein 4,BRD4,O60885,CHEMBL1163125,Reader,0.0743922719035,40 /  0     ,D
CREB-binding protein/p53,CREBBP,Q92793,CHEMBL5747,Writer,0.0743922719035,12 /  0     ,D
Kappa Opioid receptor,OPRK1,P41145,CHEMBL237,Family A G protein-coupled receptor,0.0743922719035,510 /  8     ,D
Thrombin and coagulation factor X,F10,P00742,CHEMBL244,Protease,0.0743922719035,157 /  0     ,D
Glycogen synthase kinase-3 beta,GSK3B,P49841,CHEMBL262,Kinase,0.0743922719035,109 /  3     ,D
Carboxylesterase 2,CES2,O00748,CHEMBL3180,Enzyme,0.0743922719035,5 /  11     ,D
Leucine-rich repeat serine/threonine-protein kinase 2,LRRK2,Q5S007,CHEMBL1075104,Kinase,0.0743922719035,110 /  0     ,D
Protein kinase C (PKC),PRKCZ,Q05513,CHEMBL3438,Kinase,0.0743922719035,2 /  0     ,D
MAP kinase ERK2,MAPK1,P28482,CHEMBL4040,Kinase,0.0743922719035,225 /  0     ,D
Insulin receptor,INSR,P06213,CHEMBL1981,Kinase,0.0743922719035,13 /  0     ,D
Tyrosine-protein kinase ITK/TSK,ITK,Q08881,CHEMBL2959,Kinase,0.0743922719035,51 /  0     ,D
Protein farnesyltransferase,FNTA FNTB,P49354 P49356,CHEMBL2094108,Enzyme,0.0743922719035,28 /  9     ,D
"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 3",PFKFB3,Q16875,CHEMBL2331053,Enzyme,0.0743922719035,85 /  0     ,D
"Serine/threonine protein phosphatase 2A, catalytic subunit, alpha isoform",PPP2CA,P67775,CHEMBL4703,Phosphatase,0.0743922719035,2 /  8     ,D
Protein-tyrosine phosphatase 2C,PTPN11,Q06124,CHEMBL3864,Phosphatase,0.0743922719035,2 /  2     ,D
Dual specificity mitogen-activated protein kinase kinase 1,MAP2K1,Q02750,CHEMBL3587,Kinase,0.0743922719035,160 /  0     ,D
Mitogen-activated protein kinase kinase kinase 1,MAP3K1,Q13233,CHEMBL3956,Kinase,0.0743922719035,2 /  0     ,D
P2X purinoceptor 7,P2RX7,Q99572,CHEMBL4805,Ligand-gated ion channel,0.0743922719035,23 /  0     ,D
Peptide N-myristoyltransferase 1,NMT1,P30419,CHEMBL2593,Enzyme,0.0743922719035,6 /  0     ,D
Glycogen synthase kinase-3 alpha,GSK3A,P49840,CHEMBL2850,Kinase,0.0743922719035,18 /  0     ,D
Macrophage colony stimulating factor receptor,CSF1R,P07333,CHEMBL1844,Kinase,0.0743922719035,73 /  0     ,D
Mammalian target of Rapamycin (mTORC1),FKBP1A MTOR,P62942 P42345,CHEMBL2221341,Kinase,0.0743922719035,13 /  0     ,D
Ribosomal protein S6 kinase 1,RPS6KB1,P23443,CHEMBL4501,Kinase,0.0743922719035,39 /  0     ,D
Serine/threonine-protein kinase Aurora-A,AURKA,O14965,CHEMBL4722,Kinase,0.0743922719035,120 /  0     ,D
p53-binding protein Mdm-2,MDM2,Q00987,CHEMBL5023,Other nuclear protein,0.0743922719035,211 /  0     ,D
Tyrosine-protein kinase receptor TYRO3,TYRO3,Q06418,CHEMBL5314,Kinase,0.0743922719035,36 /  0     ,D
Proto-oncogene tyrosine-protein kinase MER,MERTK,Q12866,CHEMBL5331,Kinase,0.0743922719035,37 /  0     ,D
Prostaglandin E synthase,PTGES,O14684,CHEMBL5658,Enzyme,0.0743922719035,17 /  7     ,D
Adenosine A1 receptor,ADORA1,P30542,CHEMBL226,Family A G protein-coupled receptor,0.0743922719035,271 /  2     ,D
Adenosine A3 receptor,ADORA3,P0DMS8,CHEMBL256,Family A G protein-coupled receptor,0.0743922719035,262 /  0     ,D
Cyclin-dependent kinase 9,CDK9,P50750,CHEMBL3116,Kinase,0.0743922719035,54 /  0     ,D
NAD-dependent deacetylase sirtuin 2,SIRT2,Q8IXJ6,CHEMBL4462,Eraser,0.0743922719035,6 /  0     ,D
Tyrosine-protein kinase SYK,SYK,P43405,CHEMBL2599,Kinase,0.0743922719035,147 /  0     ,D
Proteasome subunit beta type-8,PSMB8,P28062,CHEMBL5620,Protease,0.0743922719035,20 /  0     ,D
Serine/threonine-protein kinase Aurora-B,AURKB,Q96GD4,CHEMBL2185,Kinase,0.0743922719035,93 /  0     ,D
Liver glycogen phosphorylase,PYGL,P06737,CHEMBL2568,Enzyme,0.0743922719035,90 /  0     ,D
Cytochrome P450 51,CYP51A1,Q16850,CHEMBL3849,Cytochrome P450,0.0743922719035,11 /  0     ,D
Subtilisin/kexin type 7,PCSK7,Q16549,CHEMBL2232,Protease,0.0743922719035,1 /  1     ,D
Inosine-5'-monophosphate dehydrogenase 1,IMPDH1,P20839,CHEMBL1822,Oxidoreductase,0.0743922719035,9 /  0     ,D
Inosine-5'-monophosphate dehydrogenase 2,IMPDH2,P12268,CHEMBL2002,Oxidoreductase,0.0743922719035,49 /  0     ,D
Adenosine A2a receptor,ADORA2A,P29274,CHEMBL251,Family A G protein-coupled receptor,0.0743922719035,196 /  0     ,D
Geranylgeranyl transferase type I,PGGT1B FNTA,P53609 P49354,CHEMBL2095164,Enzyme,0.0743922719035,7 /  1     ,D
Endothelin receptor ET-A,EDNRA,P25101,CHEMBL252,Family A G protein-coupled receptor,0.0743922719035,65 /  4     ,D
Vascular endothelial growth factor receptor 3,FLT4,P35916,CHEMBL1955,Kinase,0.0743922719035,15 /  0     ,D
Tyrosine-protein kinase receptor FLT3,FLT3,P36888,CHEMBL1974,Kinase,0.0743922719035,63 /  0     ,D
Renin,REN,P00797,CHEMBL286,Protease,0.0743922719035,411 /  0     ,D
MAP kinase p38 beta,MAPK11,Q15759,CHEMBL3961,Kinase,0.0743922719035,20 /  0     ,D
Mineralocorticoid receptor,NR3C2,P08235,CHEMBL1994,Nuclear receptor,0.0743922719035,10 /  17     ,D
Protein kinase C alpha,PRKCA,P17252,CHEMBL299,Kinase,0.110041253522,76 /  261     ,E
Protein kinase C delta,PRKCD,Q05655,CHEMBL2996,Kinase,0.0833055530239,74 /  67     ,E
Protein kinase C epsilon,PRKCE,Q02156,CHEMBL3582,Kinase,0.0833055530239,20 /  32     ,E
P-glycoprotein 1,ABCB1,P08183,CHEMBL4302,Primary active transporter,0.0743922719035,194 /  25     ,E
Protein kinase C beta,PRKCB,P05771,CHEMBL3045,Kinase,0.0743922719035,47 /  10     ,E
Androgen Receptor,AR,P10275,CHEMBL1871,Nuclear receptor,0.0743922719035,108 /  57     ,E
Cyclooxygenase-2,PTGS2,P35354,CHEMBL230,Oxidoreductase,0.0743922719035,49 /  15     ,E
Protein kinase C gamma,PRKCG,P05129,CHEMBL2938,Kinase,0.0743922719035,26 /  7     ,E
Protein kinase C eta,PRKCH,P24723,CHEMBL3616,Kinase,0.0743922719035,16 /  5     ,E
Protein kinase C theta,PRKCQ,Q04759,CHEMBL3920,Kinase,0.0743922719035,49 /  7     ,E
Glucocorticoid receptor,NR3C1,P04150,CHEMBL2034,Nuclear receptor,0.0743922719035,121 /  20     ,E
Proto-oncogene vav,VAV1,P15498,CHEMBL3259472,Unclassified protein,0.0743922719035,1 /  1     ,E
HMG-CoA reductase,HMGCR,P04035,CHEMBL402,Oxidoreductase,0.0743922719035,166 /  99     ,E
Proteinase-activated receptor 2,F2RL1,P55085,CHEMBL5963,Family A G protein-coupled receptor,0.0743922719035,0 /  1     ,E
Interleukin-8 receptor A,CXCR1,P25024,CHEMBL4029,Family A G protein-coupled receptor,0.0743922719035,65 /  2     ,E
Isoleucyl-tRNA synthetase,IARS,P41252,CHEMBL3235,Enzyme,0.0743922719035,0 /  4     ,E
Glutathione S-transferase Mu 1,GSTM1,P09488,CHEMBL2081,Enzyme,0.0743922719035,0 /  1     ,E
Sarcoplasmic/endoplasmic reticulum calcium ATPase 1,ATP2A1,O14983,CHEMBL3136,Hydrolase,0.0743922719035,0 /  4     ,E
Protein-tyrosine phosphatase 1B,PTPN1,P18031,CHEMBL335,Phosphatase,0.0743922719035,103 /  58     ,E
Progesterone receptor,PGR,P06401,CHEMBL208,Nuclear receptor,0.0743922719035,30 /  40     ,E
Voltage-gated potassium channel subunit Kv1.3,KCNA3,P22001,CHEMBL4633,Voltage-gated ion channel,0.0743922719035,16 /  2     ,E
Telomerase reverse transcriptase,TERT,O14746,CHEMBL2916,Enzyme,0.0743922719035,6 /  2     ,E
Phosphodiesterase 4D,PDE4D,Q08499,CHEMBL288,Phosphodiesterase,0.0743922719035,12 /  11     ,E
Apoptosis regulator Bcl-X,BCL2L1,Q07817,CHEMBL4625,Other ion channel,0.0743922719035,5 /  3     ,E
Programmed cell death protein 4,PDCD4,Q53EL6,CHEMBL1781868,Unclassified protein,0.0743922719035,0 /  8     ,E
Tubulin--tyrosine ligase,TTL,Q8NG68,CHEMBL5549,Enzyme,0.0743922719035,6 /  13     ,E
C-C chemokine receptor type 1,CCR1,P32246,CHEMBL2413,Family A G protein-coupled receptor,0.0743922719035,172 /  0     ,E
Pregnane X receptor,NR1I2,O75469,CHEMBL3401,Nuclear receptor,0.0743922719035,6 /  0     ,E
"Heat shock protein 75 kDa, mitochondrial",TRAP1,Q12931,CHEMBL1075132,Other cytosolic protein,0.0743922719035,6 /  0     ,E
Heat shock protein HSP 90-beta,HSP90AB1,P08238,CHEMBL4303,Other cytosolic protein,0.0743922719035,59 /  0     ,E
Inhibitor of nuclear factor kappa B kinase beta subunit,IKBKB,O14920,CHEMBL1991,Kinase,0.0743922719035,23 /  6     ,E
Proto-oncogene c-JUN,JUN,P05412,CHEMBL4977,Transcription factor,0.0743922719035,8 /  6     ,E
Kappa Opioid receptor,OPRK1,P41145,CHEMBL237,Family A G protein-coupled receptor,0.0743922719035,518 /  10     ,E
Arachidonate 5-lipoxygenase,ALOX5,P09917,CHEMBL215,Oxidoreductase,0.0743922719035,39 /  5     ,E
Cyclin-dependent kinase 2,CDK2,P24941,CHEMBL301,Kinase,0.0743922719035,148 /  0     ,E
Cyclin-dependent kinase 1,CDK1,P06493,CHEMBL308,Kinase,0.0743922719035,157 /  0     ,E
Phospholipase A2 group IIA,PLA2G2A,P14555,CHEMBL3474,Enzyme,0.0743922719035,14 /  8     ,E
Cyclin-dependent kinase 1/cyclin B,CCNB3 CDK1 CCNB1 CCNB2,Q8WWL7 P06493 P14635 O95067,CHEMBL2094127,Other cytosolic protein,0.0743922719035,27 /  0     ,E
Cyclin-dependent kinase 2/cyclin A,CDK2 CCNA1 CCNA2,P24941 P78396 P20248,CHEMBL2094128,Other cytosolic protein,0.0743922719035,60 /  0     ,E
Ribosomal protein S6 kinase alpha 3,RPS6KA3,P51812,CHEMBL2345,Kinase,0.0743922719035,8 /  0     ,E
MAP kinase p38 alpha,MAPK14,Q16539,CHEMBL260,Kinase,0.0743922719035,225 /  0     ,E
Transient receptor potential cation channel subfamily V member 4,TRPV4,Q9HBA0,CHEMBL3119,Voltage-gated ion channel,0.0743922719035,6 /  5     ,E
Nerve growth factor receptor Trk-A,NTRK1,P04629,CHEMBL2815,Kinase,0.0743922719035,153 /  0     ,E
Matrix metalloproteinase 1,MMP1,P03956,CHEMBL332,Protease,0.0743922719035,191 /  0     ,E
Thrombin,F2,P00734,CHEMBL204,Protease,0.0743922719035,83 /  9     ,E
Protein farnesyltransferase,FNTA FNTB,P49354 P49356,CHEMBL2094108,Enzyme,0.0743922719035,32 /  9     ,E
Period circadian protein homolog 2,PER2,O15055,CHEMBL3751648,Unclassified protein,0.0743922719035,16 /  0     ,E
P2X purinoceptor 3,P2RX3,P56373,CHEMBL2998,Ligand-gated ion channel,0.0743922719035,358 /  0     ,E
Glycogen synthase kinase-3 beta,GSK3B,P49841,CHEMBL262,Kinase,0.0743922719035,110 /  3     ,E
Matrix metalloproteinase 3,MMP3,P08254,CHEMBL283,Protease,0.0743922719035,97 /  0     ,E
Bromodomain-containing protein 4,BRD4,O60885,CHEMBL1163125,Reader,0.0743922719035,42 /  0     ,E
CREB-binding protein/p53,CREBBP,Q92793,CHEMBL5747,Writer,0.0743922719035,13 /  0     ,E
11-beta-hydroxysteroid dehydrogenase 1,HSD11B1,P28845,CHEMBL4235,Enzyme,0.0743922719035,177 /  27     ,E
Insulin receptor,INSR,P06213,CHEMBL1981,Kinase,0.0743922719035,15 /  0     ,E
Tyrosine-protein kinase ITK/TSK,ITK,Q08881,CHEMBL2959,Kinase,0.0743922719035,52 /  0     ,E
CDK8/Cyclin C,CCNC CDK8,P24863 P49336,CHEMBL3038474,Kinase,0.0743922719035,8 /  0     ,E
Cell division protein kinase 8,CDK8,P49336,CHEMBL5719,Kinase,0.0743922719035,15 /  0     ,E
Dual specificity mitogen-activated protein kinase kinase 1,MAP2K1,Q02750,CHEMBL3587,Kinase,0.0743922719035,164 /  0     ,E
Mitogen-activated protein kinase kinase kinase 1,MAP3K1,Q13233,CHEMBL3956,Kinase,0.0743922719035,2 /  0     ,E
